"filename", "language", "Python", "JavaScript", "HTML", "PostCSS", "pip requirements", "JSON", "Markdown", "toml", "comment", "blank", "total"
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\partials\game_list\game_list_items.html", "HTML", 0, 0, 90, 0, 0, 0, 0, 0, 0, 2, 92
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\partials\profile_detail\profile_detail_header.html", "HTML", 0, 0, 147, 0, 0, 0, 0, 0, 0, 5, 152
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\partials\profile_list\profile_cards.html", "HTML", 0, 0, 72, 0, 0, 0, 0, 0, 0, 6, 78
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\partials\trophy_list\trophy_list_items.html", "HTML", 0, 0, 102, 0, 0, 0, 0, 0, 0, 2, 104
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\profile_detail.html", "HTML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\profile_list.html", "HTML", 0, 0, 93, 0, 0, 0, 0, 0, 0, 8, 101
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\trophy_list.html", "HTML", 0, 0, 134, 0, 0, 0, 0, 0, 0, 7, 141
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\admin.py", "Python", 239, 0, 0, 0, 0, 0, 0, 0, 1, 32, 272
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\forms.py", "Python", 73, 0, 0, 0, 0, 0, 0, 0, 0, 5, 78
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\management\commands\assign_regional_titles.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\management\commands\assign_shovelware.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\management\commands\convert_regions.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\management\commands\normalize_psn_usernames.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\management\commands\populate_title_ids.py", "Python", 29, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\management\commands\refresh_verified_profiles.py", "Python", 23, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\management\commands\start_token_keeper.py", "Python", 29, 0, 0, 0, 0, 0, 0, 0, 0, 5, 34
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\management\commands\test_psn.py", "Python", 131, 0, 0, 0, 0, 0, 0, 0, 109, 23, 263
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0001_initial.py", "Python", 322, 0, 0, 0, 0, 0, 0, 0, 1, 7, 330
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0002_game_created_at_profile_created_at.py", "Python", 24, 0, 0, 0, 0, 0, 0, 0, 1, 6, 31
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0003_featuredgame.py", "Python", 49, 0, 0, 0, 0, 0, 0, 0, 1, 6, 56
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0004_profilegame_profilegame_progress_idx.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 1, 6, 18
