"filename", "language", "Python", "HTML", "pip requirements", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0057_concept_concept_icon_url.py", "Python", 12, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0058_concept_bg_url.py", "Python", 12, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0059_profile_sync_progress_target_and_more.py", "Python", 41, 0, 0, 0, 0, 1, 6, 48
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0060_alter_profile_sync_status.py", "Python", 21, 0, 0, 0, 0, 1, 6, 28
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\mixins.py", "Python", 24, 0, 0, 0, 0, 0, 2, 26
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\models.py", "Python", 188, 0, 0, 0, 0, 0, 29, 217
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\psn_manager.py", "Python", 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\services\psn_api_service.py", "Python", -11, 0, 0, 0, 0, 0, -1, -12
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\signals.py", "Python", 53, 0, 0, 0, 0, 0, 8, 61
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\token_keeper.py", "Python", 79, 0, 0, 0, 0, 0, 11, 90
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\utils.py", "Python", 133, 0, 0, 0, 0, 8, 24, 165
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\views.py", "Python", 555, 0, 0, 0, 0, 4, 95, 654
"c:\Users\Jlowe\Desktop\PlatPursuit\users\admin.py", "Python", -16, 0, 0, 0, 0, 0, 3, -13
"c:\Users\Jlowe\Desktop\PlatPursuit\users\forms.py", "Python", -1, 0, 0, 0, 0, 0, -1, -2
"c:\Users\Jlowe\Desktop\PlatPursuit\users\migrations\0004_customuser_user_timezone.py", "Python", 460, 0, 0, 0, 0, 1, 6, 467
"c:\Users\Jlowe\Desktop\PlatPursuit\users\migrations\0005_remove_customuser_users_custo_usernam_a8ad03_idx_and_more.py", "Python", 16, 0, 0, 0, 0, 1, 6, 23
"c:\Users\Jlowe\Desktop\PlatPursuit\users\models.py", "Python", -11, 0, 0, 0, 0, 0, -1, -12
"Total", "-", 3012, 1529, 8, 139, 9, 43, 453, 5193
